target,mean,lo,hi
1.4608201,1.4499162,1.0022672,1.9297248
1.5328119,1.2760423,0.5718014,1.7218133
1.298427,1.0498332,0.67709744,1.4682662
1.2417883,1.3015385,0.83609974,1.7614106
1.3239964,0.9635717,0.5384627,1.507613
3.1652112,3.2292268,2.8388982,3.7346017
2.4599109,2.7442627,2.2000687,3.2540784
2.7465096,2.502593,1.9907258,2.9791527
2.646603,2.2211452,1.8272954,2.7360508
2.1070323,1.8256085,1.433515,2.2860851
1.688688,1.7940205,1.3468127,2.3168638
3.2818117,2.5532205,2.0467467,3.0602179
2.5249507,2.7341342,2.2896786,3.3371515
1.9663405,2.2913032,1.6989526,2.9103673
1.9183125,2.0386086,1.6370828,2.569917
2.3071258,2.0724652,1.4889864,2.777904
2.213224,2.0884466,1.6136514,2.6774564
2.297302,1.8865019,1.4213458,2.3744822
2.0144095,1.9048322,1.3443022,2.4360685
1.9252557,1.934122,1.4413956,2.4600081
1.9319474,2.2424273,1.7957077,2.698415
1.7364573,1.8114592,1.294962,2.259163
1.7693739,1.8375083,1.1736202,2.2330306
1.8376114,1.7988962,1.2522992,2.2958472
1.9744437,1.8338847,1.3448664,2.3709705
1.9099258,1.8715497,1.2950369,2.3067827
1.6852632,1.8263383,1.2994322,2.315263
1.6292338,1.8048362,1.3157935,2.2297006
1.4933487,1.7479515,1.0077492,2.25782
2.2475195,2.3447993,1.8119912,2.8241956
1.9395125,2.2036433,1.6210129,2.8305602
1.790643,2.227079,1.700528,2.6549263
2.840438,3.0500765,2.5658326,3.5724452
2.4258995,2.632693,2.28086,3.1568792
2.7348433,2.5162153,1.8845488,3.1384466
2.8375404,2.1692264,1.5487031,2.740768
2.210384,1.8676932,1.394312,2.4739275
1.8021414,1.9581715,1.5671127,2.4409919
2.0010684,2.1953442,1.71424,2.7825854
2.131944,2.1751127,1.5678722,2.5806813
2.3610914,2.1563077,1.729674,2.685168
2.4349148,2.0263436,1.5011936,2.4258301
1.8687062,2.009208,1.4888393,2.5038102
1.9492755,1.966633,1.405425,2.4761806
1.6853356,1.955322,1.2774591,2.5787718
1.9829631,1.8843907,1.2783481,2.364277
2.0848403,1.8534309,1.4046228,2.2730613
1.6694678,1.9261717,1.524877,2.3148427
1.4786165,2.0079856,1.3740001,2.6647243
1.4515952,1.8135078,1.27463,2.275549
1.7531729,1.8511041,1.275226,2.3463826
1.4213266,1.8639821,1.2438287,2.3681269
2.1259825,1.6289371,1.2154448,2.022364
1.741674,1.4807291,0.8483955,2.0068936
1.4940525,1.4803302,1.0314938,1.9674047
1.7959347,2.1749756,1.704749,2.6299758
1.3893425,1.648686,0.9961724,2.1345038
1.7467092,1.7178823,1.2402114,2.2118473
1.8736324,1.5959221,1.1058828,2.0154712
1.7683566,1.5265951,1.1221013,1.9606258
1.4423678,1.5896301,1.1287948,2.056889
1.5591612,1.6368308,1.1516514,2.167542
1.3830246,1.4650682,0.89151275,1.910908
2.5890872,2.646241,2.1145387,3.345533
3.9089782,3.811362,3.4462955,4.264999
3.30533,3.3494778,2.9722936,3.913881
4.36489,3.3454537,2.8703911,4.0636864
3.3840394,3.4857945,3.0173657,3.993707
2.7259371,2.9125736,2.461389,3.4356945
2.4473188,2.7038975,2.2808638,3.2415857
2.215713,2.283512,1.760838,2.953698
2.5036907,2.327343,1.8179507,2.8611896
2.2036004,2.5125692,1.884619,2.9441028
2.4917808,2.34306,1.7077193,2.8034523
2.684044,2.333706,1.7969859,2.8026092
2.1852565,2.1015038,1.4952619,2.5902774
1.8908843,2.2943356,1.7119309,2.8961957
1.8820314,1.9768354,1.4788222,2.4058075
2.0442219,2.6436775,2.1395526,3.1031945
1.6310744,2.3189433,1.9185418,2.806839
1.41809,2.384368,1.8849744,2.894375
3.3487957,3.2377245,2.6037962,3.8867726
3.0954127,2.8115506,2.4171681,3.157646
