block_width,t,method,rmse
17,10,Support-aware,0.2844198636945739
17,10,PostAgg,0.3130128269590701
17,10,Centroid,0.7382132186976661
17,11,Support-aware,0.0034378000000001574
17,11,PostAgg,0.29875300000000005
17,11,Centroid,0.602538
17,12,Support-aware,0.15917191673919043
17,12,PostAgg,0.36134920744138754
17,12,Centroid,0.5677203788323448
17,15,Support-aware,0.18024132228773174
17,15,PostAgg,0.3480729831282082
17,15,Centroid,0.9089227499366654
17,16,Support-aware,0.783939155044244
17,16,PostAgg,0.2443470532668783
17,16,Centroid,0.5779099722681005
17,17,Support-aware,0.42146290031113065
17,17,PostAgg,0.6084020768315719
17,17,Centroid,0.8064689603593783
17,18,Support-aware,0.24898748118661446
17,18,PostAgg,0.35053964018125633
17,18,Centroid,0.5532369183788207
17,19,Support-aware,0.2266936604008002
17,19,PostAgg,0.37641261767850454
17,19,Centroid,0.6326627673168702
17,20,Support-aware,0.89662065
17,20,PostAgg,0.63198445
17,20,Centroid,0.3520987500000001
17,21,Support-aware,0.36390928760329266
17,21,PostAgg,0.5804752782211724
17,21,Centroid,0.7560215397623143
17,22,Support-aware,0.10505998573869585
17,22,PostAgg,0.23405116765839762
17,22,Centroid,0.3781088199606858
17,23,Support-aware,0.4193737250687095
17,23,PostAgg,0.6385692487566664
17,23,Centroid,0.8561711179510458
17,24,Support-aware,0.2892973070542759
17,24,PostAgg,0.4839668657845577
17,24,Centroid,0.6536697563466666
17,25,Support-aware,0.4876527127696096
17,25,PostAgg,0.7419882185322809
17,25,Centroid,0.9862551267959915
17,26,Support-aware,0.2575274000000001
17,26,PostAgg,0.3190451999999999
17,26,Centroid,0.49607010000000007
17,27,Support-aware,0.41267876597510644
17,27,PostAgg,0.5357106275836984
17,27,Centroid,0.6981171709359677
17,28,Support-aware,0.2640957203717838
17,28,PostAgg,0.5344518090261481
17,28,Centroid,0.7938328102907322
17,29,Support-aware,0.3079371024358519
17,29,PostAgg,0.4536342320820882
17,29,Centroid,0.7455148642484976
17,30,Support-aware,0.4008589382546725
17,30,PostAgg,0.7315120521649786
17,30,Centroid,1.0248355552246684
17,31,Support-aware,0.4926563462176877
17,31,PostAgg,0.6911813602018156
17,31,Centroid,0.8437068944580359
17,32,Support-aware,0.547077102324075
17,32,PostAgg,0.5816585757244346
17,32,Centroid,0.9571511864920318
17,33,Support-aware,0.6252705863935082
17,33,PostAgg,0.552763114035286
17,33,Centroid,0.7085600778967699
17,34,Support-aware,0.4311406352793483
17,34,PostAgg,0.6580223258248761
17,34,Centroid,0.9212718831560576
17,35,Support-aware,0.7355905005908745
17,35,PostAgg,0.7445010765768988
17,35,Centroid,1.0624738690847493
17,36,Support-aware,0.29662516213107243
17,36,PostAgg,0.39077119184716014
17,36,Centroid,0.5183158215598382
17,37,Support-aware,0.34988274368515027
17,37,PostAgg,0.5331159365424828
17,37,Centroid,0.9047571371290043
17,38,Support-aware,0.40639917353178506
17,38,PostAgg,0.5789983687037625
17,38,Centroid,0.8400801538906859
17,39,Support-aware,0.4026655969756872
17,39,PostAgg,0.675752420738946
17,39,Centroid,0.8634328615546939
17,40,Support-aware,0.5785250197596002
17,40,PostAgg,0.8491023091081099
17,40,Centroid,1.0619680639842983
17,41,Support-aware,0.3691777712409271
17,41,PostAgg,0.40659587566034566
17,41,Centroid,0.8803057008621191
17,42,Support-aware,0.519185862502498
17,42,PostAgg,0.7621924067274906
17,42,Centroid,1.04953107388387
17,43,Support-aware,0.575724858001519
17,43,PostAgg,0.7570884207292332
17,43,Centroid,1.0686176911759566
17,44,Support-aware,0.5510209404159808
17,44,PostAgg,0.6814515273764287
17,44,Centroid,0.9461846683647259
17,46,Support-aware,0.5285727295528343
17,46,PostAgg,0.5328454694471079
