support,rmse,mae,crps,coverage90,width90,rep,method
large,0.0449745026296429,0.0361687413378259,0.0421329801746963,0.9975,0.3793265650784768,5,PostAgg
circle,0.0619202326672817,0.0484376855124796,0.0459075800168195,0.9875,0.380805831299109,5,PostAgg
union,0.1042477554544461,0.0827573906676161,0.0669519662897334,0.88,0.3827811701556601,5,PostAgg
point,0.1658979812333403,0.1322312569508425,0.1060672491868833,0.5975,0.3010667457032006,6,SA-BNO
small,0.129957663279233,0.1042877864047375,0.0818190075630695,0.69,0.2753954407698044,6,SA-BNO
medium,0.0529254531161997,0.0428650558416222,0.0411352109591729,0.89,0.2256723519459786,6,SA-BNO
large,0.0272694547837918,0.0221595614739499,0.0328996719904178,0.9325,0.2147635470536054,6,SA-BNO
circle,0.040552522869405,0.0309421141117913,0.0369740079342506,0.9025,0.2189154105478101,6,SA-BNO
union,0.0569840033882012,0.0452574770758768,0.0437898944975731,0.8425,0.2260828685636703,6,SA-BNO
point,0.2648269230102782,0.2113817334491618,0.1678197659638782,0.5625,0.4033890048522552,6,Centroid
small,0.2334032478976834,0.1864572443290269,0.1437206115112894,0.6025,0.4032955873618917,6,Centroid
medium,0.1412803747007164,0.1109877184240498,0.083905799733769,0.8225,0.4031001149151773,6,Centroid
large,0.1633121977974003,0.128097448815768,0.0953583100560124,0.7775,0.40263504949598,6,Centroid
circle,0.1521175952369196,0.1213305780727031,0.0909379945407657,0.8125,0.4032716484050195,6,Centroid
union,0.208601878537808,0.161710820309237,0.1269254008156809,0.675,0.403299876774524,6,Centroid
point,0.2648269230102782,0.2113817334491618,0.1678197659638782,0.5625,0.4033890048522552,6,PostAgg
small,0.2390013682622837,0.1911506997025084,0.148253159465333,0.5725,0.3943228364535227,6,PostAgg
medium,0.0884378471880745,0.0703390621801027,0.057919241568369,0.93,0.378113484663389,6,PostAgg
large,0.0482131913181215,0.0388363170699344,0.0429235460195906,0.9925,0.3741434222390717,6,PostAgg
circle,0.0632578214211019,0.0507036188103317,0.0475359549940696,0.985,0.3757017904444214,6,PostAgg
union,0.0960598692063449,0.0762314055802781,0.0627112461916605,0.92,0.3774578660004447,6,PostAgg
point,0.1515305424554498,0.1185444473028371,0.0983053357815599,0.635,0.2876628648760506,7,SA-BNO
small,0.1239855274882214,0.0965018217404252,0.0760401409775025,0.72,0.2648207560720377,7,SA-BNO
medium,0.0508081084576738,0.0406830105738936,0.0401985925192532,0.8775,0.2171490588331615,7,SA-BNO
large,0.0272838248772017,0.0211302056677773,0.0346863535375418,0.9025,0.2060869665394714,7,SA-BNO
circle,0.0380566045309047,0.0301492881429796,0.0367212131045573,0.88,0.2100335705912322,7,SA-BNO
union,0.0570405139825951,0.0462570115453789,0.0412457343364324,0.8725,0.217102885238193,7,SA-BNO
point,0.2595872787145067,0.2012192073148492,0.1617670531411137,0.5675,0.3915827812084652,7,Centroid
small,0.2103845239827837,0.1685674709948126,0.1285164532477803,0.6525,0.3923724594882528,7,Centroid
medium,0.1274623328867379,0.1001107845146118,0.0758194258241484,0.85,0.3928532022014213,7,Centroid
large,0.1543125995637905,0.1180949020712686,0.0938757574272228,0.7675,0.392363394502595,7,Centroid
circle,0.1488667630510023,0.1161968537454332,0.0909746900897389,0.7875,0.3924397832049582,7,Centroid
union,0.1986846422950025,0.1533724871054502,0.1181076458233564,0.6775,0.3924010515895562,7,Centroid
point,0.2595872787145067,0.2012192073148492,0.1617670531411137,0.5675,0.3915827812084652,7,PostAgg
small,0.2138900170286975,0.171362497025746,0.1316499201921724,0.635,0.3838029962731747,7,PostAgg
medium,0.0835301834173486,0.0656922707806844,0.0542602327231695,0.9375,0.3684301015153519,7,PostAgg
large,0.0398744908595015,0.0315684829927093,0.0411333745674422,0.995,0.3645617414064657,7,PostAgg
circle,0.0550753654916124,0.0434113930444992,0.0459875526699316,0.9775,0.365991307622927,7,PostAgg
union,0.0959593500423186,0.0760375434950196,0.0593011015128933,0.915,0.3677045828042526,7,PostAgg
point,0.1784644636471032,0.1409166295628122,0.11088308875542,0.61,0.3081468316766889,8,SA-BNO
small,0.1419780432414275,0.1114974489883345,0.0880992016627548,0.6425,0.2813857409911802,8,SA-BNO
medium,0.053214424630625,0.041637936177537,0.0420810431223857,0.875,0.2302118441608994,8,SA-BNO
large,0.0294968493036249,0.0237010060142592,0.0333581863784475,0.9425,0.2188326277394473,8,SA-BNO
circle,0.0403207789736825,0.0322841327267024,0.0366031495079679,0.9175,0.2228805977650211,8,SA-BNO
union,0.0631502141194951,0.0483724416470001,0.0452392934841861,0.8675,0.2309593488538215,8,SA-BNO
point,0.2780050027920883,0.2194115402056384,0.1744198533592999,0.545,0.412067109351155,8,Centroid
small,0.2327629199931117,0.1855500116900964,0.1429705274442498,0.635,0.4118894188917791,8,Centroid
medium,0.1429268785880018,0.1129190618054252,0.0874274105079876,0.8075,0.4115347969935448,8,Centroid
large,0.1622196586940449,0.130043628835727,0.0943838533114471,0.8025,0.4124224106729383,8,Centroid
circle,0.1615848166464381,0.1273021035396175,0.0955306724920343,0.775,0.4107108592960206,8,Centroid
union,0.2402202884209878,0.1844942484188296,0.1434524805943309,0.6425,0.4124248805074426,8,Centroid
point,0.2780050027920883,0.2194115402056384,0.1744198533592999,0.545,0.412067109351155,8,PostAgg
small,0.2349456959748846,0.1877492050420514,0.1451763132234866,0.6075,0.4023978593526601,8,PostAgg
medium,0.0857621815064366,0.0682141178455994,0.0565676915240915,0.94,0.3851709239818309,8,PostAgg
large,0.0456642253267381,0.0374216394658126,0.0416638210669956,0.9975,0.3810391248062169,8,PostAgg
circle,0.0627673321845539,0.0491793717229418,0.0473614262155437,0.985,0.3824674537463166,8,PostAgg
union,0.1089669528613862,0.0873377475848837,0.0673262077873103,0.885,0.3845975653240641,8,PostAgg
point,0.1602049973879371,0.1251087399973273,0.1015003979262154,0.615,0.3008415959035164,9,SA-BNO
small,0.1207568524568325,0.0956458215421311,0.0745074296687179,0.705,0.2754912602626133,9,SA-BNO
medium,0.0513675177404998,0.0408884722521268,0.0396222111109608,0.895,0.2282083510782866,9,SA-BNO
large,0.0257954041368898,0.0208006282246768,0.033089295766152,0.93,0.2173101361367461,9,SA-BNO
circle,0.0373825128304692,0.0296135826998713,0.0341761385898178,0.9325,0.2210028829668917,9,SA-BNO
union,0.053391075085479,0.0423098208699017,0.040218605315,0.885,0.2280970064387532,9,SA-BNO
point,0.2809312513490883,0.2259939893692048,0.1828862444376495,0.5175,0.4108998437625583,9,Centroid
small,0.2153382202668099,0.1726690843202255,0.1302248706027327,0.6475,0.4103725914804568,9,Centroid
medium,0.1332954237702554,0.1058988512988004,0.0827148898202623,0.8225,0.4107475337066241,9,Centroid
large,0.1493811057742058,0.1186308366717098,0.0897557348033198,0.82,0.4106535681675394,9,Centroid
circle,0.1536914474015223,0.1222991549187036,0.0910449222545752,0.81,0.4094791643423894,9,Centroid
union,0.2131974719676161,0.1680979517507356,0.132307789200569,0.6425,0.4099690367482203,9,Centroid
point,0.2809312513490883,0.2259939893692048,0.1828862444376495,0.5175,0.4108998437625583,9,PostAgg
small,0.2189272464796186,0.174842687706488,0.1328049047805001,0.64,0.4017378795233879,9,PostAgg
medium,0.0864938423278071,0.069894199408624,0.0582078802981923,0.9375,0.3862712475392639,9,PostAgg
large,0.0388892130497644,0.0311772543926234,0.0407495456102754,1.0,0.3824190284578821,9,PostAgg
circle,0.0582728537669844,0.0439038900215839,0.0448439554719801,0.99,0.3837449170795545,9,PostAgg
union,0.1007756033453518,0.0786936242610882,0.0627951835190455,0.905,0.3854870371851963,9,PostAgg
